condicion_ocupacion,sexo,edad,nivel_educativo_cod,Lengua,Etnia,Concentracion,Socializar,Experiencia,Movilidad
OCUPADO,1,22,10,10,7,2,2,2,2
DESOCUPADO,1,21,10,10,7,2,2,2,2
DESOCUPADO,1,75,10,10,7,2,2,1,2
OCUPADO,2,68,10,10,7,2,2,1,2
OCUPADO,1,43,6,10,7,2,2,1,2
DESOCUPADO,2,63,1,10,7,2,2,1,2
DESOCUPADO,2,79,6,10,7,2,2,1,2
OCUPADO,1,25,10,10,7,2,2,1,2
DESOCUPADO,2,37,6,10,9,2,2,1,2
OCUPADO,1,19,6,10,7,2,2,1,2
OCUPADO,1,44,6,10,7,2,2,1,2
OCUPADO,2,37,5,10,7,2,2,1,2
DESOCUPADO,1,19,5,10,1,2,2,1,2
DESOCUPADO,1,15,5,10,1,2,2,2,2
DESOCUPADO,2,14,5,10,7,2,2,1,2
OCUPADO,2,34,6,10,7,2,2,1,2
OCUPADO,1,31,6,10,7,2,2,1,2
DESOCUPADO,1,72,6,10,7,2,2,1,2
OCUPADO,1,64,6,10,1,2,2,1,2
DESOCUPADO,2,65,5,10,7,2,2,1,2
OCUPADO,1,29,11,10,7,2,2,2,2
OCUPADO,2,25,9,10,7,2,2,1,2
DESOCUPADO,2,19,8,10,7,2,2,1,2
OCUPADO,2,47,6,10,7,2,2,1,2
DESOCUPADO,1,79,11,10,9,2,2,1,2
OCUPADO,1,46,10,10,7,2,2,1,2
OCUPADO,1,30,10,10,7,2,2,1,2
OCUPADO,2,24,6,10,7,2,2,1,2
OCUPADO,2,36,10,10,7,2,2,1,2
OCUPADO,2,33,11,10,7,2,2,1,2
OCUPADO,1,54,5,1,1,2,2,1,2
OCUPADO,2,50,3,1,7,2,2,1,2
DESOCUPADO,1,13,5,10,7,2,2,2,2
OCUPADO,2,32,11,10,7,2,2,1,2
OCUPADO,1,36,11,10,7,2,2,1,2
OCUPADO,2,61,5,10,7,2,2,1,2
DESOCUPADO,1,21,6,10,7,2,2,1,2
OCUPADO,1,33,10,10,7,2,2,1,2
OCUPADO,2,26,8,10,7,2,2,1,2
OCUPADO,1,49,6,1,1,2,2,1,2
OCUPADO,2,48,5,10,7,2,2,1,2
OCUPADO,1,28,6,10,7,2,2,1,2
DESOCUPADO,1,16,5,10,7,2,2,1,2
DESOCUPADO,2,13,5,10,7,2,2,2,2
OCUPADO,1,39,11,10,1,2,2,1,2
OCUPADO,2,38,11,10,1,2,2,1,2
OCUPADO,1,52,12,10,7,2,2,1,2
DESOCUPADO,2,52,9,10,7,2,2,1,2
DESOCUPADO,1,20,6,10,7,2,2,1,2
DESOCUPADO,1,17,6,10,7,2,2,1,2
DESOCUPADO,2,94,9,10,7,2,2,1,1
DESOCUPADO,1,60,6,10,7,1,1,1,2
OCUPADO,1,66,4,1,7,2,2,1,2
DESOCUPADO,2,63,1,1,1,2,2,1,2
DESOCUPADO,2,43,6,10,7,2,2,1,2
OCUPADO,2,58,6,10,8,2,2,1,2
OCUPADO,2,49,12,10,7,2,2,1,2
OCUPADO,1,43,11,10,7,2,2,1,2
OCUPADO,1,43,6,10,7,2,2,1,2
OCUPADO,2,36,6,10,7,2,2,1,2
DESOCUPADO,2,15,5,10,7,2,2,1,2
OCUPADO,1,32,6,10,7,2,2,1,2
OCUPADO,1,47,9,10,7,2,2,1,2
DESOCUPADO,2,87,1,1,7,2,2,1,2
OCUPADO,1,42,6,10,7,2,2,1,2
DESOCUPADO,2,33,10,10,7,2,2,1,2
OCUPADO,1,65,11,10,7,2,2,1,2
DESOCUPADO,2,65,6,10,7,2,2,1,2
OCUPADO,1,34,10,10,7,2,2,1,2
OCUPADO,1,31,6,10,7,2,2,1,2
OCUPADO,2,33,11,10,7,2,2,1,2
OCUPADO,1,43,3,10,7,2,2,1,2
OCUPADO,2,46,8,10,7,2,2,1,2
DESOCUPADO,1,16,5,10,7,2,2,1,2
DESOCUPADO,2,13,5,10,7,2,2,2,2
OCUPADO,2,22,8,10,7,2,2,1,2
DESOCUPADO,2,76,1,10,7,2,2,1,2
DESOCUPADO,2,67,5,10,7,2,2,1,2
DESOCUPADO,1,73,11,10,7,2,2,1,2
DESOCUPADO,2,72,11,10,7,2,2,1,2
OCUPADO,1,43,11,10,9,2,2,1,2
OCUPADO,1,22,5,10,7,2,2,1,2
OCUPADO,2,44,12,10,7,2,2,1,2
OCUPADO,1,21,10,10,7,2,2,1,2
DESOCUPADO,1,93,5,10,9,2,2,1,2
DESOCUPADO,2,84,5,10,9,2,2,1,2
DESOCUPADO,1,59,11,10,7,2,2,1,2
OCUPADO,1,34,11,10,9,2,2,1,2
DESOCUPADO,2,34,10,10,7,2,2,1,2
DESOCUPADO,1,71,9,10,7,2,2,1,2
DESOCUPADO,2,70,9,10,7,2,2,1,2
OCUPADO,2,41,6,10,7,2,2,1,2
OCUPADO,1,57,4,1,1,2,2,1,2
OCUPADO,2,36,12,10,7,2,2,1,2
OCUPADO,1,37,12,10,7,2,2,1,2
